16/05/2024;0:08:43.346;00028;133,5;88,8;34,59;0,87;48,7;62,9;1;15,4;25;1;1529,0;0,115;-9,99;10,0
16/05/2024;0:08:48.382;00029;156,0;78,3;4,68;2,16;60,5;160,0;1;18,5;25;1;975,0;0,1;-9,99;4,9
16/05/2024;0:08:56.734;0002A;160,5;88,1;-41,71;1,82;57,3;160,6;1;24,0;25;1;2314,0;0,066;-9,99;13,5
16/05/2024;0:09:40.043;0002F;132,0;106,5;-45,62;0,56;36,6;236,6;2;33,4;45;1;2101,0;0,151;-9,99;16,8
16/05/2024;0:09:40.043;0002F;132,0;87,7;-45,62;0,56;48,8;82,8;2;27,3;25;1;2101,0;0,151;-9,99;16,8
16/05/2024;0:09:44.829;0002G;93,0;87,0;26,6;0,24;20,8;229,8;1;14,9;15;1;8307,0;0,063;-9,99;26,7
16/05/2024;0:09:45.786;0002H;156,0;90,3;-36,29;0,75;55,2;207,3;1;28,3;25;1;2876,0;0,069;-9,99;14,1
16/05/2024;0:10:12.054;0002J;129,0;85,5;-48,48;0,57;48,9;126,2;1;12,3;25;1;4733,0;0,067;-9,99;20,4
16/05/2024;0:10:34.253;0002K;123,0;83,4;-0,8;0,07;47,7;93,4;1;14,6;51;1;5913,0;0,119;-9,99;21,2
16/05/2024;0:10:34.267;0002L;129,0;86,3;-0,65;3,0;48,4;94,1;1;34,9;13;1;967,0;0,108;-9,99;9,3
16/05/2024;0:10:34.269;0002M;117,0;85,6;-0,84;3,07;43,3;226,7;2;35,5;31;1;1004,0;0,116;-9,99;9,0
16/05/2024;0:10:34.269;0002M;117,0;78,5;-0,84;3,07;48,2;93,7;2;27,3;31;1;1004,0;0,116;-9,99;9,0
16/05/2024;0:10:46.395;0002O;123,0;77,1;16,45;5,07;51,6;249,8;1;36,1;42;1;1460,0;0,034;-9,99;9,2
16/05/2024;0:10:46.669;0002P;180,0;81,8;6,29;0,68;63,7;170,4;1;18,9;52;1;2073,0;0,111;-9,99;12,3
16/05/2024;0:11:24.021;0002U;135,0;94,6;-44,81;2,17;46,0;192,5;2;32,9;13;1;1347,0;0,091;-9,99;9,0
16/05/2024;0:11:24.021;0002U;135,0;87,5;-44,81;2,17;50,1;157,8;2;23,3;23;1;1347,0;0,091;-9,99;9,0
16/05/2024;0:12:21.354;0002W;264,0;85,1;2,93;5,99;72,3;51,2;1;35,1;24;1;1271,0;0,11;-9,99;10,0
16/05/2024;0:12:43.906;0002Z;253,5;85,6;30,15;0,16;71,3;205,6;1;9,3;53;1;3694,0;0,09;1,85;18,5
16/05/2024;0:12:45.363;00031;129,0;87,0;-9,45;1,0;48,0;18,2;1;15,4;15;1;2859,0;0,109;-9,99;15,5
16/05/2024;0:12:53.936;00032;166,5;91,2;32,12;0,13;57,4;11,5;1;13,0;45;1;7913,0;0,072;44,75;23,8
16/05/2024;0:13:18.643;00035;115,5;93,0;12,23;4,61;36,7;136,2;1;38,2;13;1;1511,0;0,047;-9,99;12,0
16/05/2024;0:13:20.861;00036;139,5;86,7;-46,27;0,76;52,1;109,1;1;14,6;41;1;2756,0;0,098;-9,99;16,2
16/05/2024;0:13:23.438;00037;174,0;76,2;-11,36;0,97;64,7;79,2;1;12,0;35;1;1598,0;0,066;-9,99;11,4
16/05/2024;0:13:26.264;00038;133,5;83,6;-38,99;7,26;51,7;118,0;1;39,1;53;1;910,0;0,061;-9,99;5,5
16/05/2024;0:13:26.366;00039;181,5;85,8;-43,11;1,11;62,5;151,7;1;16,2;13;1;2243,0;0,096;-9,99;13,1
16/05/2024;0:13:43.984;0003C;102,0;89,1;-27,57;0,03;29,4;143,6;1;13,0;15;1;10597,0;0,144;28,17;25,1
16/05/2024;0:13:43.984;0003D;100,5;87,7;-27,64;0,02;29,4;143,5;1;12,4;15;1;15806,0;0,145;27,96;29,7
16/05/2024;0:13:43.984;0003E;102,0;89,1;-27,57;0,03;29,4;143,6;1;13,0;15;1;10597,0;0,144;28,17;26,1
16/05/2024;0:13:43.984;0003F;109,5;95,7;-27,7;0,37;29,3;143,5;1;11,5;15;1;2560,0;0,141;-9,99;13,6
16/05/2024;0:13:43.981;0003G;99,0;86,5;-27,62;0,68;29,3;143,7;1;15,8;51;1;2358,0;0,14;-9,99;13,1
16/05/2024;0:14:13.525;0003I;105,0;83,2;3,52;0,14;37,9;175,2;1;8,2;32;1;6598,0;0,094;33,27;22,1
16/05/2024;0:14:13.525;0003J;111,0;88,2;3,94;3,31;37,7;175,3;1;24,0;25;1;1040,0;0,076;-9,99;7,2
16/05/2024;0:14:13.525;0003K;111,0;88,2;3,92;3,31;37,7;175,3;1;24,1;25;1;1040,0;0,076;-9,99;7,2
16/05/2024;0:14:14.714;0003L;193,5;92,5;4,46;0,07;62,2;117,3;1;7,8;15;1;6519,0;0,089;-9,99;22,3
16/05/2024;0:14:14.715;0003M;202,5;97,1;3,75;2,98;62,1;116,9;1;24,5;25;1;1045,0;0,091;-9,99;7,2
16/05/2024;0:14:22.952;0003N;255,0;90,5;-32,63;0,2;70,3;184,5;1;19,9;42;1;3924,0;0,067;-9,99;18,6
16/05/2024;0:14:25.933;0003P;210,0;97,0;-21,58;2,29;63,3;96,6;1;26,9;52;1;2361,0;0,026;-9,99;15,9
16/05/2024;0:14:26.171;0003Q;109,5;83,6;8,72;4,86;40,5;187,1;1;26,8;14;1;826,0;0,166;-9,99;7,6
16/05/2024;0:14:26.171;0003R;109,5;83,6;8,72;4,87;40,5;187,1;1;26,8;14;1;825,0;0,166;-9,99;7,4
16/05/2024;0:15:03.402;0003U;135,0;95,3;47,89;1,33;45,5;37,5;1;7,1;25;1;2078,0;0,045;-9,99;15,0
16/05/2024;0:15:31.762;0003W;273,0;87,9;-32,67;0,32;72,4;182,3;1;18,5;15;1;3482,0;0,1;-9,99;16,2
